"Topt","sim","site"
28.63,916,"MO"
25.99,916,"MI"
34.89,915,"TX"
29.88,915,"MO"
24.18,915,"MI"
27.12,914,"TX"
34.89,914,"MO"
27.2,914,"MI"
34.89,913,"TX"
28.59,913,"MO"
21.9,913,"MI"
34.89,912,"TX"
34.89,912,"MO"
22.67,912,"MI"
25.71,911,"TX"
26.54,911,"MO"
34.89,911,"MI"
23.59,910,"TX"
29.05,910,"MO"
23.17,910,"MI"
18.67,909,"TX"
28.84,909,"MO"
21.36,909,"MI"
34.89,908,"TX"
28.16,908,"MO"
23.44,908,"MI"
34.89,907,"TX"
26.24,907,"MO"
22.23,907,"MI"
34.89,906,"TX"
34.89,906,"MO"
22.53,906,"MI"
27.75,905,"TX"
28.97,905,"MO"
28.51,905,"MI"
32.15,904,"TX"
27.58,904,"MO"
21.25,904,"MI"
34.89,903,"TX"
27.47,903,"MO"
25.61,903,"MI"
34.89,902,"TX"
26.9,902,"MO"
24.59,902,"MI"
31.85,901,"TX"
29.04,901,"MO"
34.89,901,"MI"
26.84,900,"TX"
34.89,900,"MO"
23.69,900,"MI"
15.75,899,"TX"
34.89,899,"MO"
27,899,"MI"
24.43,898,"TX"
30.06,898,"MO"
34.89,898,"MI"
34.89,897,"TX"
34.34,897,"MO"
25.61,897,"MI"
27.01,896,"TX"
34.89,896,"MO"
22.8,896,"MI"
34.89,895,"TX"
33.24,895,"MO"
32.3,895,"MI"
34.89,894,"TX"
30.62,894,"MO"
21.34,894,"MI"
34.89,893,"TX"
34.89,893,"MO"
29.48,893,"MI"
34.89,892,"TX"
27.83,892,"MO"
23.38,892,"MI"
34.89,891,"TX"
26.21,891,"MO"
22.98,891,"MI"
34.89,890,"TX"
31.04,890,"MO"
34.89,890,"MI"
26.97,889,"TX"
31.3,889,"MO"
26.59,889,"MI"
32.08,888,"TX"
29.53,888,"MO"
21.76,888,"MI"
28.11,887,"TX"
27.59,887,"MO"
25.17,887,"MI"
34.89,886,"TX"
29.59,886,"MO"
23.48,886,"MI"
24.6,885,"TX"
30.12,885,"MO"
23.19,885,"MI"
34.89,884,"TX"
27.74,884,"MO"
25.55,884,"MI"
28.4,883,"TX"
30.17,883,"MO"
23.56,883,"MI"
34.89,882,"TX"
29.15,882,"MO"
23.9,882,"MI"
34.89,881,"TX"
29.97,881,"MO"
23.49,881,"MI"
24.86,880,"TX"
34.89,880,"MO"
23.64,880,"MI"
34.5,879,"TX"
29.14,879,"MO"
23.51,879,"MI"
32.07,878,"TX"
27,878,"MO"
26.31,878,"MI"
32.55,877,"TX"
31.45,877,"MO"
27.72,877,"MI"
33.57,876,"TX"
34.89,876,"MO"
34.89,876,"MI"
34.89,875,"TX"
30.17,875,"MO"
21.69,875,"MI"
19.44,874,"TX"
28.55,874,"MO"
24.78,874,"MI"
24.79,873,"TX"
28.73,873,"MO"
32.65,873,"MI"
30.71,872,"TX"
27.77,872,"MO"
23.44,872,"MI"
7.61,871,"TX"
34.89,871,"MO"
28.46,871,"MI"
20.22,870,"TX"
32.62,870,"MO"
25.68,870,"MI"
28.69,869,"TX"
34.89,869,"MO"
22.01,869,"MI"
32.39,868,"TX"
30.51,868,"MO"
22.39,868,"MI"
34.89,867,"TX"
34.89,867,"MO"
34.89,867,"MI"
28.92,866,"TX"
29.47,866,"MO"
25.4,866,"MI"
24.47,865,"TX"
28.99,865,"MO"
22.62,865,"MI"
34.89,864,"TX"
34.8,864,"MO"
34.89,864,"MI"
34.89,863,"TX"
26.99,863,"MO"
24.24,863,"MI"
34.89,862,"TX"
31.33,862,"MO"
21.67,862,"MI"
23.67,861,"TX"
34.89,861,"MO"
24.27,861,"MI"
34.89,860,"TX"
34.89,860,"MO"
21.27,860,"MI"
24.07,859,"TX"
28.73,859,"MO"
22.66,859,"MI"
26.14,858,"TX"
34.89,858,"MO"
23.37,858,"MI"
32.21,857,"TX"
29.58,857,"MO"
24.61,857,"MI"
23.2,856,"TX"
25.67,856,"MO"
23.09,856,"MI"
31.07,855,"TX"
29.5,855,"MO"
30.7,855,"MI"
23.82,854,"TX"
29.79,854,"MO"
29.07,854,"MI"
25.13,853,"TX"
29.47,853,"MO"
24.24,853,"MI"
34.89,852,"TX"
29.58,852,"MO"
23.48,852,"MI"
34.89,851,"TX"
28.79,851,"MO"
21.31,851,"MI"
33.82,850,"TX"
34.89,850,"MO"
23.59,850,"MI"
34.89,849,"TX"
33.82,849,"MO"
25.16,849,"MI"
26.31,848,"TX"
28.08,848,"MO"
30.81,848,"MI"
28.28,847,"TX"
26.61,847,"MO"
23.51,847,"MI"
34.89,846,"TX"
29.5,846,"MO"
26.56,846,"MI"
34.89,845,"TX"
27.11,845,"MO"
26.59,845,"MI"
30.24,844,"TX"
28.06,844,"MO"
21.84,844,"MI"
34.89,843,"TX"
29.48,843,"MO"
25.35,843,"MI"
34.89,842,"TX"
34.89,842,"MO"
25.72,842,"MI"
20.31,841,"TX"
30.31,841,"MO"
22.5,841,"MI"
31.4,840,"TX"
30.51,840,"MO"
26.78,840,"MI"
34.89,839,"TX"
28.58,839,"MO"
25.19,839,"MI"
33.66,838,"TX"
34.89,838,"MO"
28.09,838,"MI"
34.89,837,"TX"
26.69,837,"MO"
21.83,837,"MI"
34.89,836,"TX"
34.19,836,"MO"
31.85,836,"MI"
34.89,835,"TX"
28.73,835,"MO"
25.45,835,"MI"
34.89,834,"TX"
28.34,834,"MO"
22.47,834,"MI"
34.89,833,"TX"
28.08,833,"MO"
26.01,833,"MI"
23.69,832,"TX"
31.22,832,"MO"
21.67,832,"MI"
7.61,831,"TX"
26.59,831,"MO"
34.89,831,"MI"
34.89,830,"TX"
30.28,830,"MO"
22.2,830,"MI"
34.89,829,"TX"
28.45,829,"MO"
23.5,829,"MI"
34.89,828,"TX"
34.89,828,"MO"
24.42,828,"MI"
34.89,827,"TX"
29.1,827,"MO"
29.52,827,"MI"
34.89,826,"TX"
27.71,826,"MO"
26.69,826,"MI"
34.89,825,"TX"
30.19,825,"MO"
22.14,825,"MI"
34.89,824,"TX"
24.8,824,"MO"
22.62,824,"MI"
34.89,823,"TX"
26.42,823,"MO"
23.24,823,"MI"
26.14,822,"TX"
26.47,822,"MO"
31.82,822,"MI"
34.89,821,"TX"
26.35,821,"MO"
24.29,821,"MI"
34.89,820,"TX"
27.02,820,"MO"
26.5,820,"MI"
23.55,819,"TX"
34.89,819,"MO"
24.91,819,"MI"
31.78,818,"TX"
34.89,818,"MO"
24.29,818,"MI"
24.32,817,"TX"
34.89,817,"MO"
29.84,817,"MI"
34.89,816,"TX"
28.53,816,"MO"
27.09,816,"MI"
27.63,815,"TX"
34.17,815,"MO"
23.35,815,"MI"
34.89,814,"TX"
34.89,814,"MO"
21.95,814,"MI"
30.36,813,"TX"
34.89,813,"MO"
22.61,813,"MI"
34.89,812,"TX"
29.7,812,"MO"
25.4,812,"MI"
34.89,811,"TX"
29.92,811,"MO"
22.48,811,"MI"
26.27,810,"TX"
34.89,810,"MO"
25.31,810,"MI"
34.89,809,"TX"
26.34,809,"MO"
24,809,"MI"
34.89,808,"TX"
34.35,808,"MO"
24.67,808,"MI"
34.89,807,"TX"
25.95,807,"MO"
21.54,807,"MI"
34.89,806,"TX"
31.38,806,"MO"
22.53,806,"MI"
34.89,805,"TX"
29.94,805,"MO"
26.93,805,"MI"
34.89,804,"TX"
28.71,804,"MO"
21.83,804,"MI"
31.13,803,"TX"
29.62,803,"MO"
22.96,803,"MI"
28.7,802,"TX"
34.89,802,"MO"
34.89,802,"MI"
33.95,801,"TX"
26.71,801,"MO"
24.32,801,"MI"
7.61,800,"TX"
26.66,800,"MO"
24.22,800,"MI"
34.89,799,"TX"
28.66,799,"MO"
30.95,799,"MI"
29.56,798,"TX"
32.47,798,"MO"
32.24,798,"MI"
34.89,797,"TX"
29.16,797,"MO"
23.74,797,"MI"
24.32,796,"TX"
27.65,796,"MO"
22.17,796,"MI"
34.89,795,"TX"
28.73,795,"MO"
22.9,795,"MI"
32.29,794,"TX"
27.51,794,"MO"
34.89,794,"MI"
26.03,793,"TX"
33.95,793,"MO"
24.49,793,"MI"
22.52,792,"TX"
32.18,792,"MO"
23.1,792,"MI"
34.89,791,"TX"
27.96,791,"MO"
23.68,791,"MI"
26.67,790,"TX"
29.81,790,"MO"
22.27,790,"MI"
34.89,789,"TX"
33.77,789,"MO"
28.11,789,"MI"
34.89,788,"TX"
29.44,788,"MO"
22.85,788,"MI"
31.66,787,"TX"
25.42,787,"MO"
21.96,787,"MI"
25.74,786,"TX"
34.89,786,"MO"
22.14,786,"MI"
24.88,785,"TX"
33.85,785,"MO"
24.5,785,"MI"
34.89,784,"TX"
29.49,784,"MO"
23.65,784,"MI"
21.04,783,"TX"
26.51,783,"MO"
34.89,783,"MI"
24.96,782,"TX"
29,782,"MO"
24.99,782,"MI"
24.93,781,"TX"
28.2,781,"MO"
21.96,781,"MI"
28.28,780,"TX"
29.25,780,"MO"
23.45,780,"MI"
27.79,779,"TX"
29.99,779,"MO"
22.45,779,"MI"
28.89,778,"TX"
26.1,778,"MO"
22.25,778,"MI"
34.89,777,"TX"
27.73,777,"MO"
27.51,777,"MI"
34.89,776,"TX"
28.16,776,"MO"
22.63,776,"MI"
21.19,775,"TX"
28,775,"MO"
24.11,775,"MI"
34.89,774,"TX"
31.95,774,"MO"
23.49,774,"MI"
21.25,773,"TX"
30.86,773,"MO"
24.78,773,"MI"
34.89,772,"TX"
33.54,772,"MO"
23.12,772,"MI"
34.89,771,"TX"
27.59,771,"MO"
22.68,771,"MI"
34.89,770,"TX"
29.45,770,"MO"
21.51,770,"MI"
34.89,769,"TX"
29.39,769,"MO"
23.73,769,"MI"
25.66,768,"TX"
33.12,768,"MO"
22.56,768,"MI"
34.89,767,"TX"
27.64,767,"MO"
28.42,767,"MI"
24.62,766,"TX"
27.96,766,"MO"
22.6,766,"MI"
34.89,765,"TX"
34.89,765,"MO"
23.93,765,"MI"
24.72,764,"TX"
28.23,764,"MO"
23.84,764,"MI"
34.89,763,"TX"
25.93,763,"MO"
23.41,763,"MI"
34.89,762,"TX"
28.4,762,"MO"
24.64,762,"MI"
30.59,761,"TX"
30.94,761,"MO"
34.89,761,"MI"
34.89,760,"TX"
27.28,760,"MO"
31.39,760,"MI"
34.89,759,"TX"
29.88,759,"MO"
22.95,759,"MI"
26.47,758,"TX"
34.89,758,"MO"
21.98,758,"MI"
7.61,757,"TX"
30.07,757,"MO"
34.89,757,"MI"
34.89,756,"TX"
30.28,756,"MO"
23.14,756,"MI"
25.89,755,"TX"
30.07,755,"MO"
24.27,755,"MI"
34.89,754,"TX"
30.08,754,"MO"
34.89,754,"MI"
34.89,753,"TX"
34.89,753,"MO"
23.64,753,"MI"
29.99,752,"TX"
30.67,752,"MO"
27.34,752,"MI"
24.37,751,"TX"
29.12,751,"MO"
22.38,751,"MI"
23.77,750,"TX"
28.98,750,"MO"
22.75,750,"MI"
34.89,749,"TX"
34.15,749,"MO"
28.13,749,"MI"
34.89,748,"TX"
30.97,748,"MO"
20.81,748,"MI"
34.89,747,"TX"
29.72,747,"MO"
34.89,747,"MI"
26.7,746,"TX"
31.86,746,"MO"
20.78,746,"MI"
27.3,745,"TX"
28.08,745,"MO"
31.43,745,"MI"
23.25,744,"TX"
34.47,744,"MO"
21.81,744,"MI"
34.89,743,"TX"
34.89,743,"MO"
34.89,743,"MI"
30.09,742,"TX"
34.89,742,"MO"
25.38,742,"MI"
27,741,"TX"
27.49,741,"MO"
22.89,741,"MI"
34.49,740,"TX"
32.17,740,"MO"
34.89,740,"MI"
24.57,739,"TX"
28.66,739,"MO"
24.44,739,"MI"
34.89,738,"TX"
27.74,738,"MO"
22.89,738,"MI"
34.89,737,"TX"
30.06,737,"MO"
21.6,737,"MI"
26.17,736,"TX"
34.89,736,"MO"
21.5,736,"MI"
18.91,735,"TX"
34.89,735,"MO"
27.84,735,"MI"
24.11,734,"TX"
29.56,734,"MO"
27.42,734,"MI"
34.89,733,"TX"
34.89,733,"MO"
23.68,733,"MI"
7.61,732,"TX"
30.64,732,"MO"
24.79,732,"MI"
34.89,731,"TX"
34.89,731,"MO"
21.94,731,"MI"
34.89,730,"TX"
27.61,730,"MO"
21.16,730,"MI"
27.73,729,"TX"
28.1,729,"MO"
27.5,729,"MI"
34.89,728,"TX"
32.74,728,"MO"
22.18,728,"MI"
30.85,727,"TX"
28.97,727,"MO"
22.43,727,"MI"
23.44,726,"TX"
27.56,726,"MO"
29.38,726,"MI"
22.89,725,"TX"
24.99,725,"MO"
23.96,725,"MI"
34.89,724,"TX"
33.49,724,"MO"
23.35,724,"MI"
34.89,723,"TX"
34.89,723,"MO"
20.8,723,"MI"
34.89,722,"TX"
30.04,722,"MO"
22.09,722,"MI"
34.89,721,"TX"
28.82,721,"MO"
34.89,721,"MI"
27.81,720,"TX"
27.6,720,"MO"
30.2,720,"MI"
34.89,719,"TX"
34.89,719,"MO"
23.52,719,"MI"
23.89,718,"TX"
34.89,718,"MO"
34.89,718,"MI"
34.89,717,"TX"
27.63,717,"MO"
22.13,717,"MI"
26.03,716,"TX"
34.66,716,"MO"
34.89,716,"MI"
23.48,715,"TX"
27.65,715,"MO"
23.19,715,"MI"
22.86,714,"TX"
26.83,714,"MO"
31.86,714,"MI"
29.54,713,"TX"
34.89,713,"MO"
28.7,713,"MI"
30.76,712,"TX"
30.57,712,"MO"
24.01,712,"MI"
29.55,711,"TX"
29,711,"MO"
21.45,711,"MI"
34.89,710,"TX"
34.89,710,"MO"
23.08,710,"MI"
34.89,709,"TX"
34.89,709,"MO"
22.37,709,"MI"
24.78,708,"TX"
31.02,708,"MO"
22.64,708,"MI"
34.89,707,"TX"
30.99,707,"MO"
23.2,707,"MI"
34.89,706,"TX"
25.93,706,"MO"
22.1,706,"MI"
21.99,705,"TX"
34.89,705,"MO"
22.8,705,"MI"
22.56,704,"TX"
29.02,704,"MO"
22.28,704,"MI"
22.42,703,"TX"
28.15,703,"MO"
28.78,703,"MI"
34.89,702,"TX"
28.32,702,"MO"
24.75,702,"MI"
34.89,701,"TX"
29.61,701,"MO"
22.69,701,"MI"
34.89,700,"TX"
30.01,700,"MO"
26,700,"MI"
22.51,699,"TX"
29.17,699,"MO"
20.78,699,"MI"
18.61,698,"TX"
30.35,698,"MO"
22.22,698,"MI"
34.89,697,"TX"
28.57,697,"MO"
29.69,697,"MI"
24.59,696,"TX"
31.01,696,"MO"
